# 49971 addresses changed in all 4 diffs
# values from level20.snap; addr  int32_le  float32  hex
  0x00007ff60ccb7a44          493   6.9084e-43  ed010000
  0x00007ff60ccb7a45    301989889   4.0390e-28  01000012
* 0x00007ff60ccb7a50   1515479584   1.4945e+16  2062545a
  0x00007ff60ccb7a51   -312847262  -4.2231e+27  62545aed
  0x00007ff60ccb7a52     32332372   8.7190e-38  545aed01
  0x00007ff60ccb7a53       126298   1.7698e-40  5aed0100
  0x00007ff60ccb7a54          493   6.9084e-43  ed010000
  0x00007ff60ccb7a55    301989889   4.0390e-28  01000012
* 0x00007ff60ccb7ae8   1448834352   6.0324e+13  30755b56
  0x00007ff60ccb7ae9   -313107595  -4.1463e+27  755b56ed
  0x00007ff60ccb7aea     32331355   8.7184e-38  5b56ed01
  0x00007ff60ccb7aeb       126294   1.7698e-40  56ed0100
  0x00007ff60ccb7aec          493   6.9084e-43  ed010000
  0x00007ff60ccb7aed   1392508929   5.4976e+11  01000053
* 0x00007ff60ccb82d1    641692559   6.6423e-16  8f733f26
  0x00007ff60ccb82d2  -1893318797  -8.1967e-30  733f268f
* 0x00007ff60ccb82d5      4158351   5.8271e-39  8f733f00
  0x00007ff60ccb82d6        16243   2.2761e-41  733f0000
* 0x00007ff60ccb8325      4138506   5.7993e-39  0a263f00
  0x00007ff60ccb8326        16166   2.2653e-41  263f0000
* 0x00007ff60ccb8a80   1445262048   4.5341e+13  e0f22456
  0x00007ff60ccb8a81   -313121550  -4.1422e+27  f22456ed
  0x00007ff60ccb8a82     32331300   8.7184e-38  2456ed01
  0x00007ff60ccb8a83       126294   1.7698e-40  56ed0100
  0x00007ff60ccb8a84          493   6.9084e-43  ed010000
  0x00007ff60ccb8a85   1392508929   5.4976e+11  01000053
* 0x00007ff60ccb8ad0   1517274672   1.6873e+16  30c66f5a
  0x00007ff60ccb8ad1   -312840250  -4.2252e+27  c66f5aed
  0x00007ff60ccb8ad2     32332399   8.7190e-38  6f5aed01
  0x00007ff60ccb8ad3       126298   1.7698e-40  5aed0100
  0x00007ff60ccb8ad4          493   6.9084e-43  ed010000
  0x00007ff60ccb8ad5            1   1.4013e-45  01000000
* 0x00007ff60ccb8af0   -300115200  -1.2117e+28  009b1cee
  0x00007ff60ccb8af1   -303162213  -9.2115e+27  9b1ceeed
  0x00007ff60ccb8af2     32370204   8.7402e-38  1ceeed01
  0x00007ff60ccb8af3       126446   1.7719e-40  eeed0100
