# 35761 addresses changed in all 3 diffs
# values from level17.snap; addr  int32_le  float32  hex
  0x00007ff60ccbca63       142874   2.0021e-40  1a2e0200
  0x00007ff60ccbca64          558   7.8192e-43  2e020000
* 0x00007ff60ccbca98    796854752   2.3196e-10  e0097f2f
  0x00007ff60ccbca99    774864649   3.9903e-11  097f2f2e
  0x00007ff60ccbca9a     36581247   1.2797e-37  7f2f2e02
  0x00007ff60ccbca9b       142895   2.0024e-40  2f2e0200
  0x00007ff60ccbca9c          558   7.8192e-43  2e020000
* 0x00007ff60ccbcbe0    451731232   9.7968e-23  20dfec1a
  0x00007ff60ccbcbe1    773516511   3.5226e-11  dfec1a2e
  0x00007ff60ccbcbe2     36575980   1.2791e-37  ec1a2e02
  0x00007ff60ccbcbe3       142874   2.0021e-40  1a2e0200
  0x00007ff60ccbcbe4          558   7.8192e-43  2e020000
* 0x00007ff60ccbcc78    412234896   3.7793e-24  90349218
  0x00007ff60ccbcc79    773362228   3.4691e-11  3492182e
  0x00007ff60ccbcc7a     36575378   1.2791e-37  92182e02
  0x00007ff60ccbcc7b       142872   2.0021e-40  182e0200
  0x00007ff60ccbcc7c          558   7.8192e-43  2e020000
* 0x00007ff60ccbce00    500498768   5.6382e-21  5001d51d
  0x00007ff60ccbce01    773707009   3.5887e-11  01d51d2e
  0x00007ff60ccbce02     36576725   1.2792e-37  d51d2e02
  0x00007ff60ccbce03       142877   2.0021e-40  1d2e0200
  0x00007ff60ccbce04          558   7.8192e-43  2e020000
* 0x00007ff60ccbce98    500487536   5.6337e-21  70d5d41d
  0x00007ff60ccbce99    773706965   3.5887e-11  d5d41d2e
  0x00007ff60ccbce9a     36576724   1.2792e-37  d41d2e02
  0x00007ff60ccbce9b       142877   2.0021e-40  1d2e0200
  0x00007ff60ccbce9c          558   7.8192e-43  2e020000
* 0x00007ff60ccbced1    768814021   2.4007e-11  c52bd32d
* 0x00007ff60ccbced3       142803   2.0011e-40  d32d0200
  0x00007ff60ccbced4          557   7.8052e-43  2d020000
* 0x00007ff60ccbcf08    451662384   9.7533e-23  30d2eb1a
  0x00007ff60ccbcf09    773516242   3.5225e-11  d2eb1a2e
  0x00007ff60ccbcf0a     36575979   1.2791e-37  eb1a2e02
  0x00007ff60ccbcf0b       142874   2.0021e-40  1a2e0200
  0x00007ff60ccbcf0c          558   7.8192e-43  2e020000
* 0x00007ff60ccbcf40    451657184   9.7500e-23  e0bdeb1a
  0x00007ff60ccbcf41    773516221   3.5225e-11  bdeb1a2e
  0x00007ff60ccbcf42     36575979   1.2791e-37  eb1a2e02
  0x00007ff60ccbcf43       142874   2.0021e-40  1a2e0200
  0x00007ff60ccbcf44          558   7.8192e-43  2e020000
* 0x00007ff60ccbcf90    451660720   9.7523e-23  b0cbeb1a
  0x00007ff60ccbcf91    773516235   3.5225e-11  cbeb1a2e
  0x00007ff60ccbcf92     36575979   1.2791e-37  eb1a2e02
  0x00007ff60ccbcf93       142874   2.0021e-40  1a2e0200
